id,Name,processed_text,cluster_k10,cluster_k25,cluster_k50
178,"Корпус E.Next e.mbox.stand.n.f1.12.z.e металевий, під 1-ф. електронний лічильник, 12 мод., навісний, з замком",корпус e next e mbox stand n f1 12 z e металевий під 1 ф електронний лічильник 12 мод навісний з замком,1,2,4
179,Наконечник УЕК мідний луджений 10/ 6 JG-10 UNP40-010-06-06,наконечник уек мідний луджений 10 6 jg 10 unp40 010 06 06,1,2,3
180,"Вимикач автоматичний 2-п С 63А 4,5кА EASY9 230В Schneider EZ9F34263",вимикач автоматичний 2 п с 63а 4 5ка easy9 230в schneider ez9f34263,1,2,3
181,Гільза УЕК алюмінієва 25 GL-25 UGL10-025-07-U,гільза уек алюмінієва 25 gl 25 ugl10 025 07 u,2,3,8
182,Наконечник УЕК мідний луджений 25/ 8 JG-25 UNP40-025-07-08,наконечник уек мідний луджений 25 8 jg 25 unp40 025 07 08,1,2,3
183,Наконечник УЕК мідний луджений 16/ 8 JG-16 UNP40-016-06-08,наконечник уек мідний луджений 16 8 jg 16 unp40 016 06 08,1,2,3
184,Блок PE-клем Hager KN22E,блок pe клем hager kn22e,3,5,12
185,Блок N-клем Hager KN22N,блок n клем hager kn22n,3,5,12
186,Лампа люмінесцентна Philips G5 6W/33 TL,лампа люмінесцентна philips g5 6w 33 tl,10,22,42
187,Лампа компактна Osram G23 9W/840 DULUX S,лампа компактна osram g23 9w 840 dulux s,10,22,42
188,"Сутінкове реле E.Next e.sensor.light-conrol.302.white(білий), 10А, IP44 s061007",сутінкове реле e next e sensor light conrol 302 white білий 10а ip44 s061007,8,18,36
189,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 0,75",olflex heat 180 sif провід силіконовий термостійкий 0 75,1,2,5
190,Блок фазних клем Hager KN14P,блок фазних клем hager kn14p,3,5,12
191,Вимикач автоматичний 3-полюсний Hager 6kA MC310A C 10A,вимикач автоматичний 3 полюсний hager 6ka mc310a c 10a,1,1,2
192,Індикатор модульний LED Hager SVN127 3 червоних,індикатор модульний led hager svn127 3 червоних,1,1,1
193,"УЕК інструмент обжимний KO-01 (1,5-6,0) TKL10-D15-006",уек інструмент обжимний ko 01 1 5 6 0 tkl10 d15 006,1,2,3
194,Патрон люстровий з гайкою E.Next Е14 s9100006 білий,патрон люстровий з гайкою e next е14 s9100006 білий,1,2,5
195,Коробка розподільна для гіпсокартона IP20 Schneider IMT35160 80*45,коробка розподільна для гіпсокартона ip20 schneider imt35160 80 45,4,9,21
196,Вимикач автоматичний 1-полюсний Hager 6kA MB110A B 10A,вимикач автоматичний 1 полюсний hager 6ka mb110a b 10a,1,1,2
197,Вимикач автоматичний 2-полюсний Hager 6kA MB216A B 16A,вимикач автоматичний 2 полюсний hager 6ka mb216a b 16a,1,1,2
198,"АВВГ кабель вітчизняний 4* 2,5",аввг кабель вітчизняний 4 2 5,1,2,3
199,Контактор 230V Hager ESC225 25A 2нв,контактор 230v hager esc225 25a 2нв,10,25,48
200,"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",клема з єднувальна з нажимним важелем wago 222 413 для 3 гнучких проводів 0 08 4 кв мм сіра,2,3,6
201,"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",клема з єднувальна з нажимним важелем wago 222 413 для 3 гнучких проводів 0 08 4 кв мм сіра,2,3,6
202,"Лампа галогенова капсульна 12V Philips GY6,35 20W 13104 Caps.line(uv)",лампа галогенова капсульна 12v philips gy6 35 20w 13104 caps line uv,10,22,44
203,Прожектор LED УЕК IP65 4000Lm 50W/6500K СДО06-50 LPDO601-50-40-K02-U,прожектор led уек ip65 4000lm 50w 6500k сдо06 50 lpdo601 50 40 k02 u,9,21,40
204,Блок відгалужувальний Hager KJ02D,блок відгалужувальний hager kj02d,1,2,3
205,Лампа люмінесцентна Philips G5 6W/54 TL,лампа люмінесцентна philips g5 6w 54 tl,10,22,42
206,Лампа люмінесцентна Philips G13 18W/33 TLD Standart,лампа люмінесцентна philips g13 18w 33 tld standart,10,22,44
207,"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",клема з єднувальна з нажимним важелем wago 222 413 для 3 гнучких проводів 0 08 4 кв мм сіра,2,3,6
208,Корпус накладний прозора дверка Cosmos IP40/II Hager VD118TD 18 модулів 200*292.5*91mm,корпус накладний прозора дверка cosmos ip40 ii hager vd118td 18 модулів 200 292 5 91mm,5,12,29
209,Роз’єм модульний до реле ly4 10А E.Next e.control.p104s i.ptf.14a,роз єм модульний до реле ly4 10а e next e control p104s i ptf 14a,8,20,38
210,Реле проміжне 12V DC 10А E.Next e.control.p1041 i.ly4.12dc,реле проміжне 12v dc 10а e next e control p1041 i ly4 12dc,10,23,45
211,Зажим клемний DIN-рейку УЕК ЗНИ- 6 50А сiрий YZN10-006-K03,зажим клемний din рейку уек зни 6 50а сiрий yzn10 006 k03,5,11,24
212,Зажим клемний DIN-рейку УЕК ЗНИ- 6 50А синій YZN10-006-K07,зажим клемний din рейку уек зни 6 50а синій yzn10 006 k07,5,11,24
213,"Шина ""N"" DIN-iзольована E.Next p0650011 e.bsi.pro.2.6 (6 відгалужень)",шина n din iзольована e next p0650011 e bsi pro 2 6 6 відгалужень,3,6,16
214,Заглушка УЕК 12 модулів біла YZM10-12-K01,заглушка уек 12 модулів біла yzm10 12 k01,2,3,6
215,"Шина ""N"" DIN в корпусі E.Next p0650001 2* 7 груп e.cbs.pro.2.7",шина n din в корпусі e next p0650001 2 7 груп e cbs pro 2 7,3,6,16
216,Шина Hager з’єднувальна штирьова 1-полюсна 12 модулів 10 мм2 PIN KB163A сіра,шина hager з єднувальна штирьова 1 полюсна 12 модулів 10 мм2 pin kb163a сіра,5,12,27
217,Шина Hager з’єднувальна вилочна 2-полюсна 12 модулів 10 мм2 FORK KDN263A,шина hager з єднувальна вилочна 2 полюсна 12 модулів 10 мм2 fork kdn263a,5,12,27
218,Шина Hager з’єднувальна вилочна 1-полюсна 12 модульна 10 мм.кв. FORK KDN163A,шина hager з єднувальна вилочна 1 полюсна 12 модульна 10 мм кв fork kdn163a,5,12,27
219,Вимикач автоматичний 1-полюсний Hager 6kA MB132A B 32A,вимикач автоматичний 1 полюсний hager 6ka mb132a b 32a,1,1,2
220,Вимикач автоматичний 1-полюсний Hager 6kA MC140A C 40A,вимикач автоматичний 1 полюсний hager 6ka mc140a c 40a,1,1,2
221,"Диференційне реле 2-полюсне Hager CD263J A-63/0,03А",диференційне реле 2 полюсне hager cd263j a 63 0 03а,3,4,9
222,ПВ-3 провід перетином 2.5,пв 3 провід перетином 2 5,2,3,8
223,"ПВС кабель вітчизняний 3* 2,5 чорний",пвс кабель вітчизняний 3 2 5 чорний,1,2,3
224,Коробка розподільна IP55 Spelsberg 332-912 I12-L 85*85*37 сіра 33291201,коробка розподільна ip55 spelsberg 332 912 i12 l 85 85 37 сіра 33291201,4,9,21
225,"Клема з’єднувальна з нажимним важелем Wago 222-413 для 3 гнучких проводів 0,08-4 кв.мм сіра",клема з єднувальна з нажимним важелем wago 222 413 для 3 гнучких проводів 0 08 4 кв мм сіра,2,3,6
226,Патрон люстровий з гайкою E.Next e.lamp socket with nut.E27.pl.white Е27 s9100016 білий,патрон люстровий з гайкою e next e lamp socket with nut e27 pl white е27 s9100016 білий,7,15,33
227,"Трубка термоусаджувальна 4,0/2,0",трубка термоусаджувальна 4 0 2 0,3,6,15
228,"АВВГ кабель вітчизняний 2* 2,5",аввг кабель вітчизняний 2 2 5,1,2,3
229,Затискач анкерний натяжний 2*(16-25) вітчизняний ЗА 1.1,затискач анкерний натяжний 2 16 25 вітчизняний за 1 1,1,2,3
230,Патрон підвісний керамічний E.Next Е27 s9100014,патрон підвісний керамічний e next е27 s9100014,1,2,5
231,"Трубка термоусаджувальна 5,0/2,5",трубка термоусаджувальна 5 0 2 5,3,6,15
232,"Трубка термоусаджувальна 3,0/1,5",трубка термоусаджувальна 3 0 1 5,3,6,15
233,"OLFLEX HEAT 180 SiF провід силіконовий термостійкий 1,0",olflex heat 180 sif провід силіконовий термостійкий 1 0,1,2,5
234,Лампа компактна Osram G23 9W/840 DULUX S,лампа компактна osram g23 9w 840 dulux s,10,22,42
235,"Інструмент E.Next e.tool.crimp.hs.313 для обтиску, різки, зачистки проводів t002016",інструмент e next e tool crimp hs 313 для обтиску різки зачистки проводів t002016,7,16,34
236,Лічильник однофазний E.Next e.control.w04m 5(45)А електронний клас 1.0 (некомерційний облік) i0310031m,лічильник однофазний e next e control w04m 5 45 а електронний клас 1 0 некомерційний облік i0310031m,8,20,38
